Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9]
Affenpinscher,"Germany, France",Group 02 Section 01 #186,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Afghan Hound,Afghanistan,Group 10 Section 01 #228,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Afghan Shepherd,Afghanistan,,,,,,,
Aidi,Morocco,Group 02 Section 02 #247,,,,,,Guardian Dog
Airedale Terrier,United Kingdom (England),Group 03 Section 01 #007,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Akbash,Turkey,,,,,,,Guardian Dog
Akita,Japan,Group 05 Section 05 #255,See American Akita,Group 06 (Utility),See American Akita,Utility,Utility,Northern Breed
Alano Español,Spain,,,,,,,
Alaskan husky,United States,,,,,,,
Alaskan Klee Kai,United States,,,,,,,Northern Breed
Alaskan Malamute,United States,Group 05 Section 01 #243,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed
Alaunt,Albania,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Alopekis,Greece,,,,,,,
Alpine Dachsbracke,Austria,Group 06 Section 02 #254,,,,,,Scenthound
Alpine Mastiff,Switzerland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Alpine Spaniel,"Switzerland, Savoy",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
American Akita,Japan/United States,Group 05 Section 05 #344,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Utility,Utility,Northern Breed
American Bulldog,United States,,,,,,,Guardian Dog
American Bully,United States,,,,,,,Companion Dog
American Cocker Spaniel,United States,Group 08 Section 02 #167,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
American English Coonhound,United States,,Hound Group,,,,,Scenthound
American Eskimo Dog,Germany,,Non-Sporting Group,,"Group 05 - Toys, Group 06 - Non-Sporting",,,Northern Breed
American Foxhound,United States,Group 06 Section 01 #303,Hound Group,,Group 02 - Hounds,,,Scenthound
American Hairless Terrier,United States,,Terrier Group,Group 02 (Terriers),,,,Terrier
American Pit Bull Terrier,United States,,,,,,,Terrier
American Staffordshire Terrier,United States,Group 03 Section 03 #286,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,,Terrier,
American Water Spaniel,United States,Group 08 Section 03 #301,Sporting Group,,Group 01 - Sporting Dogs,Gundog,,Gun Dog
Anatolian Shepherd Dog,Turkey,See Kangal Shepherd Dog,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Pastoral,Utility,Guardian Dog
Andalusian Hound,Spain,,,,,,,
Anglo-Français de Petite Vénerie,France,Group 06 Section 01 #325,,,,,,Scenthound
Appenzeller Sennenhund,Switzerland,Group 02 Section 03 #046,FSS,,,,,Guardian Dog
Argentine Polar Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Ariegeois,France,Group 06 Section 01 #020,,,,,,Scenthound
Armant,Egypt,,,,,,,
Armenian Gampr dog,Armenia,,,,,,,
Artois Hound,France,Group 06 Section 01 #028,,,,,,Scenthound
Australian Cattle Dog,Australia,Group 01 Section 02 #287,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Australian Kelpie,Australia,Group 01 Section 01 #293,FSS (as Working Kelpie and Australian Kelpie),Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",,Working,Herding Dog
Australian Shepherd,United States,Group 01 Section 01 #342,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Australian Stumpy Tail Cattle Dog[10],Australia,Group 01 Section 02 #351 Provisional,FSS,Group 05 (Working Dogs),Group 07 - Herding Dogs,,Working,Herding Dog
Australian Terrier,Australia,Group 03 Section 02 #008,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Austrian Black and Tan Hound,Austria,Group 06 Section 01 #063,,,,,,Scenthound
Austrian Pinscher,Austria,Group 02 Section 01 #064,,,,,,Terrier
Azawakh,Mali,Group 10 Section 03 #307,Hound Group,Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah
Bakharwal dog,India,,,,,,,
Barbado da Terceira,Portugal,,,,,,,
Barbet,France,Group 08 Section 03 #105,Miscellaneous,,Group 01 - Sporting Dogs,Gundog,,Gun Dog
Basenji,Democratic Republic of the Congo,Group 05 Section 06 #043,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Basque Shepherd Dog,Spain,,,,,,,
Basset Artésien Normand,France,Group 06 Section 01 #034,,,,,,Scenthound
Basset Bleu de Gascogne,France,Group 06 Section 01 #035,,,,Hound,,Scenthound
Basset Fauve de Bretagne,France,Group 06 Section 01 #036,FSS,Group 04 (Hounds),,Hound,Hound,Scenthound
Basset Hound,France,Group 06 Section 01 #163,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Bavarian Mountain Hound,Germany,Group 06 Section 02 #217,FSS,,,Hound,,Scenthound
Beagle,United Kingdom (England),Group 06 Section 01 #161,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Beagle-Harrier,France,Group 06 Section 01 #290,,,,,,Scenthound
Bearded Collie,United Kingdom (Scotland),Group 01 Section 01 #271,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Beauceron,France,Group 01 Section 01 #044,Herding Group,,"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog
Bedlington Terrier,United Kingdom (England),Group 03 Section 01 #009,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Belgian Shepherd Dog (Groenendael),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Laekenois),Belgium,Group 01 Section 01 #015,Miscellaneous,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Malinois),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Tervuren),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Bergamasco Shepherd,Italy,Group 01 Section 01 #194,Herding Group,Group 05 (Working Dogs),,Pastoral,Working,Herding Dog
Berger Blanc Suisse,Switzerland,Group 01 Section 01 #347,,Group 05 (Working Dogs),,Pastoral,Working,
Berger Picard,France,Group 01 Section 01 #176,Herding Group,,Group 07 - Herding Dogs,Pastoral,,Herding Dog
Bernese Mountain Dog,Switzerland,Group 02 Section 03 #045,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bichon Frisé,Spain,Group 09 Section 01 #215,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog
Billy,France,Group 06 Section 01 #025,,,,,,Scenthound
Black and Tan Coonhound,United States,Group 06 Section 01 #300,Hound Group,,Group 02 - Hounds,Hound,Hound,Scenthound
Black and Tan Virginia Foxhound,United States,,,,,,,
Black Norwegian Elkhound,Norway,Group 05 Section 02 #268,,,,,,
Black Russian Terrier,Russia,Group 02 Section 01 #327,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog
Black Mouth Cur,United States,,,,,,,Scenthound
Bloodhound,"Belgium, France",Group 06 Section 01 #084,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Blue Heeler,Australia,See Australian Cattle Dog,,,,,,
Blue Lacy,United States,,,,,,,
Blue Paul Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Blue Picardy Spaniel,France,Group 07 Section 01 #106,,,Group 01 - Sporting Dogs,,,Gun Dog
Bluetick Coonhound,United States,,Hound Group,Group 04 (Hounds),,,Hound,Scenthound
Boerboel,South Africa,,Working Group,,,,,Guardian Dog
Bohemian Shepherd,Czech Republic,,FSS,,,,,
Bolognese,Italy,Group 09 Section 01 #196,FSS,,,Toy,Toy,Companion Dog
Border Collie,"United Kingdom (Scotland, England, Wales)",Group 01 Section 01 #297,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog
Border Terrier,"United Kingdom (Scotland, England)",Group 03 Section 01 #010,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Borzoi,Russia,Group 10 Section 01 #193,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,Group 06 Section 01 #155,,,,,,Scenthound
Boston Terrier,United States,Group 09 Section 11 #140,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Bouvier des Ardennes,Belgium,Group 01 Section 02 #171,,,,,,Herding Dog
Bouvier des Flandres,Belgium,Group 01 Section 02 #191,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Working,Working,Herding Dog
Boxer,Germany,Group 02 Section 02 #144,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Boykin Spaniel,United States,,Sporting Group,,,,,Gun Dog
Bracco Italiano,Italy,Group 07 Section 01 #202,FSS,Group 03 (Gundogs),,Gundog,Gundog,Gun Dog
Braque d'Auvergne,France,Group 07 Section 01 #180,,,"Group 01 - Sporting Dogs, listed",Gundog,,Gun Dog
Braque de l'Ariege,France,Group 07 Section 01 #177,,,,,,Gun Dog
Braque du Bourbonnais,France,Group 07 Section 01 #179,FSS,,,,,Gun Dog
Braque du Puy,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Braque Francais,France,"Group 07 Section 01 #133 (Gascogne), #134 (Pyrenees)",FSS (Pyrenean),,Group 01 - Sporting Dogs,,,"Gun Dog (Grande Taille, Petite Taille)"
Braque Saint-Germain,France,Group 07 Section 01 #115,,,,,,Gun Dog
Brazilian Dogo,Brazil,,,,,,,
Brazilian Terrier,Brazil,Group 03 Section 01 #341,,,,,,
Briard,France,Group 01 Section 01 #113,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Briquet Griffon Vendéen,France,Group 06 Section 01 #019,,,,,,Scenthound
Brittany,France,Group 07 Section 01 #095,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Broholmer,Denmark,Group 02 Section 02 #315,FSS,,,,,Guardian Dog
Bruno Jura Hound,"Switzerland, France",,,,,,,
Brussels Griffon,Belgium,"Group 09 Section 03 #080, 081, 082",Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Bucovina Shepherd Dog,Romania,Group 02 Section 02 #357 Provisional,,,,,,
Bull and Terrier,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Bull Terrier,United Kingdom (England),Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Bulldog,United Kingdom (England),Group 02 Section 02 #149,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Bullenbeisser,Germany,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Bullmastiff,United Kingdom (England),Group 02 Section 02 #157,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bully Kutta,"Pakistan, India",,,,,,,
Burgos Pointer,Spain,Group 07 Section 01 #090,,,,,,Gun Dog
Cairn Terrier,United Kingdom (Scotland),Group 03 Section 02 #004,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Canaan Dog,Middle East (Lebanon - Israel),Group 05 Section 06 #273,Herding Group,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Sighthound and Pariah
Canadian Eskimo Dog,Canada,Group 05 Section 01 #211,,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed
Cane Corso,Italy,Group 02 Section 02 #343,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",,Utility,Guardian Dog
Cantabrian Water Dog,Spain,,,,,,,
Cão da Serra de Aires,Portugal,Group 01 Section 01 #093,FSS,,"Group 07 - Herding Dogs, listed",,,Herding Dog
Cão de Castro Laboreiro,Portugal,Group 02 Section 02 #170,,,,,,Guardian Dog
Cão de Gado Transmontano,Portugal,,,,,,,
Cão Fila de São Miguel,Portugal,Group 02 Section 02 #340,,,,,,
Carolina Dog,United States,,FSS,,,,,Sighthound and Pariah
Carpathian Shepherd Dog,Romania,Group 01 Section 01 #350,,,,,,Herding Dog
Catalan Sheepdog,Spain,Group 01 Section 01 #087,,,,Pastoral,,Herding Dog
Caucasian Shepherd Dog,"Georgia, Armenia, Azerbaijan",Group 02 Section 02 #328,FSS,,,,,Guardian Dog
Cavalier King Charles Spaniel,United Kingdom (England),Group 09 Section 07 #136,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Central Asian Shepherd Dog,Russia,Group 02 Section 02 #335,FSS,Group 06 (Utility),,,Utility,Guardian Dog
Cesky Fousek,Czech Republic,Group 07 Section 01 #245,,,,,Gundog,Gun Dog
Cesky Terrier,Czech Republic,Group 03 Section 02 #246,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Chesapeake Bay Retriever,United States,Group 08 Section 01 #263,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Chien Français Blanc et Noir,France,Group 06 Section 01 #220,,,,,,Scenthound
Chien Français Blanc et Orange,France,Group 06 Section 01 #316,,,,,,Scenthound
Chien Français Tricolore,France,Group 06 Section 01 #219,,,,,,Scenthound
Chien-gris,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Chihuahua,Mexico,Group 09 Section 06 #218,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Chilean Terrier,Chile,,,,,,,
Chinese Chongqing Dog,China,,,,,,,
Chinese Crested Dog,China,Group 09 Section 04 #288,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Chinese Imperial Dog,China,,,,,,,
Chinook,United States,,Working Group,,,,,Northern Breed
Chippiparai,India,,,,,,,
Chiribaya Dog,Peru,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Chow Chow,China,Group 05 Section 05 #205,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed
Cierny Sery,Slovakia,,,,,,,
Cirneco dell'Etna,Italy,Group 05 Section 07 #199,Hound Group,,,Hound,,Sighthound and Pariah
Clumber Spaniel,United Kingdom (England),Group 08 Section 02 #109,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
"Collie, Rough",United Kingdom (Scotland),Group 01 Section 01 #156,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
"Collie, Smooth",United Kingdom (Scotland),Group 01 Section 01 #296,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Combai,India,,,,,,,
Cordoba Fighting Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Coton de Tulear,Madagascar,Group 09 Section 01 #283,Non-Sporting Group,Group 01 (Toys),"Group 05 - Toys, listed",Toy,Toy,Companion Dog
Cretan Hound,Greece,,,,,,,
Croatian Sheepdog,Croatia,Group 01 Section 01 #277,FSS,,,,,Herding Dog
Cumberland Sheepdog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Curly-Coated Retriever,United Kingdom (England),Group 08 Section 01 #110,Sporting Group,,Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
Cursinu,Corsica (France),,,,,,,
Czechoslovakian Wolfdog,"Czech Republic, Slovakia",Group 01 Section 01 #332,FSS,,,,,Herding Dog
Dachshund,Germany,Group 04 Section 01 #148,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Dalbo dog,Sweden,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Dalmatian,Croatia,Group 06 Section 03 #153,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Dandie Dinmont Terrier,United Kingdom (Scotland),Group 03 Section 02 #168,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Danish-Swedish Farmdog,"Denmark, Sweden",Group 02 Section 01 #356 Provisional,FSS,,,,,Terrier
Deutsche Bracke,Germany,Group 06 Section 01 #299,,,,,,Scenthound
Doberman Pinscher,Germany,Group 02 Section 01 #143,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Dogo Argentino,Argentina,Group 02 Section 02 #292,Miscellaneous,,,,,Guardian Dog
Dogo Cubano,Cuba,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Dogue de Bordeaux,France,Group 02 Section 02 #116,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog
Drentse Patrijshond,Netherlands,Group 07 Section 01 #224,FSS,,,,,Gun Dog
